id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
5012207122776903,O57yUbEoL,1730714982,马蜂窝官方微博,「一碗香迷糊的麻辣烫」终于让这座宝藏小城火起来了！然而，山野水绿的温润风光，绝壁上的璀璨佛国，它可远不止好吃而已！#天水麻辣烫##小众宝藏旅行地#,,,,"天水麻辣烫,小众宝藏旅行地",9,4,18,2024-03-15 15:12,微博网页版,"['https://wx4.sinaimg.cn/large/001T7U1Mly1hnrp2b73axj60p669wnpe02.jpg', 'https://wx2.sinaimg.cn/large/001T7U1Mly1hnrp2bce6pj60p66p4qv602.jpg', 'https://wx1.sinaimg.cn/large/001T7U1Mly1hnrp2arlraj60p66azb2a02.jpg', 'https://wx4.sinaimg.cn/large/001T7U1Mly1hnrp2bbxnpj60p6787x6q02.jpg', 'https://wx3.sinaimg.cn/large/001T7U1Mly1hnrp2b4ex4j60p660pe8202.jpg', 'https://wx3.sinaimg.cn/large/001T7U1Mly1hnrp2b7015j60p66t6kjm02.jpg', 'https://wx4.sinaimg.cn/large/001T7U1Mly1hnrp2amb77j60p660l4qq02.jpg', 'https://wx3.sinaimg.cn/large/001T7U1Mly1hnrp2atc4uj60p66r6b2a02.jpg', 'https://wx4.sinaimg.cn/large/001T7U1Mly1hnrp2bavjij60p66fh1kz02.jpg']",,,北京
5011469827835361,O4OnIwSkN,3871817031,地道风物,#甘肃天水麻辣烫##天水麻辣烫#这泼天的富贵终于轮到甘肃天水麻辣烫了！许多吃货“特种兵”甚至不远千里去天水吃麻辣烫，甘肃当地在天水机场组织专车，只为接送游客前往吃麻辣烫！世人皆知开遍全国的兰州拉面，其实一碗热辣的甘肃麻辣烫才是甘肃人的隐秘快乐~如果你有一位吃货甘肃朋友，他多半会叮嘱你，去甘肃绝对不要错过的，就是甘肃麻辣烫！不用迷信于评分、环境，懂的人才知道，越是老厂房、家属院里的老门面，越有可能是本地食客心目中隐藏的明星，到了饭点还很有可能大排长龙——不过没关系，巷子里随便挑一家，味道基本都差不了~你想去甘肃尝尝天水麻辣烫的滋味吗？#外地人被甘肃天水麻辣烫整懵了#O中国最香的麻辣烫，不在四川，更不在东北！,,,,"甘肃天水麻辣烫,天水麻辣烫,外地人被甘肃天水麻辣烫整懵了",20,12,38,2024-03-13 14:22,微博 weibo.com,,,,
5016097550766431,O6KLN3dnN,1074273855,赵林-甘露公益,火爆的天水麻辣烫，让各地宝宝们蜂拥而至！麻辣烫吃货节上，免费的饮料，免费的麻辣烫给你味蕾最美好的体验！#吃麻辣烫的正确姿势##天水麻辣烫##帮甘肃文旅上分#L赵林-甘露公益的微博视频,,天水,,"吃麻辣烫的正确姿势,天水麻辣烫,帮甘肃文旅上分",8,56,44,2024-03-26 08:51,微博视频号,,"http://f.video.weibocdn.com/o0/Du0PRzxflx08dA1s2fHi01041200dvKK0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191991&ssig=DCHrIVnMyR&KID=unistore,video",,甘肃
5018514727634409,O7LEsw23D,1074273855,赵林-甘露公益,#秒懂全景甘肃#应粉丝强烈要求推荐一条火爆全网天水麻辣烫和甘南深度游的保姆级旅行攻略。#天水麻辣烫##和地球自拍#L赵林-甘露公益的微博视频,,兰州,,"秒懂全景甘肃,天水麻辣烫,和地球自拍",8,6,14,2024-04-02 00:56,甘露公益Android,,"http://f.video.weibocdn.com/o0/GZC3wPLClx08dKF42Imc01041201cnFB0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191991&ssig=SrXbdpZYuq&KID=unistore,video",,甘肃
5013347612756812,O5BepbzaI,1074273855,赵林-甘露公益,【#卦源胜地山水麦积#】每个人心中都有一个无法忘怀的地方。或常常提起，或埋在心底。等待着一场久别重逢的相遇。#厚道甘肃##天水麻辣烫#L赵林-甘露公益的微博视频,,天水,,"卦源胜地山水麦积,厚道甘肃,天水麻辣烫",38,52,49,2024-03-18 18:44,微博视频号,,"http://f.video.weibocdn.com/o0/NBp7uRnklx08dnV1k2Ba01041207hdnM0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191991&ssig=bsa1RPpyhC&KID=unistore,video",,甘肃
5011807292620911,O4Xa1aZOL,5762468571,攀枝花平安西区,#天水麻辣烫#爆火了，欢迎大家也来尝尝我们大四川的麻辣烫哦🤤🤤🤤,,,,天水麻辣烫,19,69,81,2024-03-14 12:43,画饼大师,"['https://wx1.sinaimg.cn/large/006hYJjtgy1hnqf87hyrmj30qo0zkwo9.jpg', 'https://wx2.sinaimg.cn/large/006hYJjtgy1hnqf8810kjj30qo0zk12v.jpg', 'https://wx3.sinaimg.cn/large/006hYJjtgy1hnqf88ikdzj30qo0zktix.jpg', 'https://wx4.sinaimg.cn/large/006hYJjtgy1hnqf88zb0rj30qo0zkgwx.jpg']",,,
5018798064664688,O7T1sjzuU,1791298665,奔流新闻,#最抚人心甘肃麻辣烫#【视频丨我们的麻辣烫】我们所有的努力，不仅仅是为了这一波浪潮，流水不争先，争的是滔滔不绝。我们有理由相信，那些循着美味踏上这片土地的人们，终将会因它那西北罕见的秀丽，和丝路古道的厚重而倾倒。@奔流新闻#厚道甘肃##天水麻辣烫#文案|卢伟山翟倩视频|赵梓伊师天铭翟倩配音|翟倩设计|陈雅楠部分素材来源|天水在线、文脉天水（目视磅礴）L奔流新闻的微博视频,,,奔流新闻,"最抚人心甘肃麻辣烫,厚道甘肃,天水麻辣烫",2,0,12,2024-04-02 19:42,微博视频号,,"http://f.video.weibocdn.com/o0/E6Yi3Q6vlx08dLUn9QzS01041207aoD70E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713192005&ssig=Mn%2B3r5fYuz&KID=unistore,video",,
5015378090788828,O6s3n3jd2,1074273855,赵林-甘露公益,【#甘肃非遗百科#--麦积山石窟】麦积山石窟，地处小陇山中的一座独立的山峰，高142米，山形似麦垛，故而称为麦积山，位于甘肃省天水市麦积区，是麦积山风景名胜区核心景点。被誉为东方雕塑艺术陈列馆。麦积山石窟与莫高窟、龙门石窟、云冈石窟并称为中国四大石窟。#天水麻辣烫##微博非遗合伙人#L赵林-甘露公益的微博视频,,天水·麦积山石窟,,"甘肃非遗百科,天水麻辣烫,微博非遗合伙人",18,64,32,2024-03-24 09:13,微博视频号,,"http://f.video.weibocdn.com/o0/X8FDgyfQlx08dw7QZKcM01041205dwBu0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713192005&ssig=85VjLobiNn&KID=unistore,video",,甘肃
5012270702924760,O59dscgRy,1774057271,生命时报,【营养师#教你在家做同款天水麻辣烫#】甘肃#天水麻辣烫#的热度，最近确实可以用“烫”来形容。从营养角度看，#麻辣烫家族#无论哪里的麻辣烫，都具有明显的优势和劣势。如果短时间内无法品尝天水麻辣烫，大家可以尝试在家简单“复刻”。网购定西宽粉等特色食材能让成品更地道。调味上，油泼辣子的制作是个难点，下面推荐一个简单做法👇O甘肃“天水麻辣烫”火爆了！营养师教你在家也能做同款,,,,"教你在家做同款天水麻辣烫,天水麻辣烫,麻辣烫家族",6,1,28,2024-03-15 19:25,微博 weibo.com,,,,
5014393354458171,O62r5iHLZ,2108237403,西铁资讯,#西铁出行早知道#加车啦！快坐上高铁开启你的#天水麻辣烫#之旅吧！继淄博烧烤、哈尔滨冻梨后，裹满辣椒、浸润红油的天水麻辣烫以其独有的风味登上热搜，成为了舌尖上的顶流。为了让广大美食爱好者能够在最短的时间内品尝到最正宗可口的麻辣烫，中国铁路西安局集团有限公司优化运输组织，加开多趟西安至天水方向的动车组列车，为游客赴天水品尝美食提供充足运力保障。L西铁资讯的微博视频,,,,"西铁出行早知道,天水麻辣烫",10,54,56,2024-03-21 16:00,微博视频号,,"http://f.video.weibocdn.com/o0/PIZy4OEUlx08dssyXDDG01041200AQoC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713192005&ssig=M%2BAowkwudA&KID=unistore,video",,
